feature_1,feature_2,feature_3,feature_4,feature_5,category
75353,76797,65953,57458,20358,alpha
3267,82745,89588,38513,26092,alpha
11338,412,7543,33496,60692,gamma
89084,92920,44425,38756,18888,gamma
35735,47295,83042,85999,17955,alpha
37841,70640,65510,34911,59031,alpha
88726,7357,32479,61476,44811,gamma
36208,20150,71180,43286,68450,alpha
21352,55069,14397,41555,46959,alpha
728,50517,66234,39954,47280,alpha
79459,16779,63932,72936,24466,alpha
36939,69896,35270,59163,82637,beta
51934,64895,32307,54098,60921,gamma
5486,8335,86900,89112,97203,gamma
11130,87508,60566,66703,27192,alpha
1062,84076,89780,21545,21689,gamma
11174,88461,9348,23714,38102,gamma
74460,89930,6801,72267,48136,beta
23625,82873,72592,77052,44261,gamma
1542,21677,46732,50343,39081,alpha
62856,93105,88858,19065,83460,beta
88092,54693,26962,28295,13807,gamma
42348,26432,83285,91792,57854,alpha
40262,37080,1324,91267,35909,alpha
89339,19870,34578,72124,26790,alpha
25289,55129,93714,94246,15485,beta
44482,86188,4748,86769,9435,gamma
3709,30355,55771,57799,13116,alpha
25470,42344,42918,52224,39298,gamma
80219,61629,66040,99518,99835,gamma
28016,23960,33591,82848,67641,alpha
36395,22700,34620,20559,93045,beta
93396,61642,76539,21732,91362,beta
30354,13843,71726,17640,52528,gamma
38413,52638,52736,68866,19087,beta
41430,24504,7114,78859,99657,beta
10975,11023,21447,90469,23959,gamma
66203,29703,9337,46427,61529,alpha
84665,31921,33307,27355,4835,beta
20159,47605,38088,78752,55284,gamma
57043,35547,97007,82844,27532,beta
34349,45445,5713,56178,49407,gamma
70340,50990,75672,65545,84791,alpha
58141,23793,56570,95084,37892,beta
1015,61813,27712,8415,62292,gamma
23833,4158,62680,20309,6970,gamma
72474,86704,46540,20384,18017,beta
75880,8702,384,404,40943,alpha
47926,29189,12763,18384,60100,gamma
98142,9860,80642,50612,23574,alpha
23524,69172,10916,4809,32201,gamma
53330,13456,56397,38765,34816,gamma
45106,53932,17100,57091,21949,beta
70080,37744,45543,92193,36187,gamma
7239,14489,58017,61877,43125,alpha
49922,94074,32049,37131,42944,beta
73963,24285,37626,42808,88464,gamma
53871,19198,19758,15254,44238,alpha
1252,39764,77709,37441,92234,gamma
53682,59494,81317,65215,78587,alpha
6949,55393,73553,6941,25934,gamma
23386,61886,75745,83251,94456,beta
53413,56800,97239,42318,70173,beta
70390,52329,43088,39811,55479,alpha
85392,87369,19963,55123,92705,gamma
73477,14388,5569,69836,36586,gamma
12015,45002,6254,17144,24214,alpha
80719,71774,6090,11637,22415,alpha
24071,58243,41240,83807,33434,beta
69724,75697,28732,11314,23954,beta
57108,87044,87505,36668,23061,gamma
79252,39749,16907,18777,93229,beta
51745,91865,81818,23624,23321,beta
10488,22574,5240,43221,10478,beta
55645,19262,52796,4432,95257,beta
64291,79104,59399,79714,50428,alpha
87731,302,82558,55,8717,beta
28699,73686,67661,44247,16748,alpha
4621,15034,5126,5122,18030,beta
82838,84717,55658,38638,67067,gamma
88869,34674,35854,46271,73688,gamma
38518,10267,90825,1062,50448,gamma
95462,6229,56793,47915,4632,beta
3596,6168,7561,73794,82152,beta
26734,6371,26069,79905,12910,alpha
73479,77735,81264,23275,72274,gamma
81449,60004,62981,84659,54553,gamma
48447,34529,75703,76090,17260,alpha
3812,28024,58656,27285,92436,gamma
1605,71158,72303,27139,77149,alpha
56138,76125,13918,85655,27446,gamma
13046,24818,4324,76323,9111,gamma
38110,16389,41427,79579,28746,gamma
87886,117,84471,13234,53441,alpha
846,10954,79239,46514,88236,beta
97579,6469,30105,42101,64323,alpha
91922,58067,49376,45587,36976,beta
67584,78477,42533,1828,1917,alpha
20618,32254,47362,20128,59383,gamma
65545,82180,87958,9865,2219,alpha
39809,5287,34387,8512,1342,beta
63076,19216,93070,79767,97829,gamma
26614,36258,93789,42078,83524,gamma
96573,12219,235,42929,67444,gamma
8567,70792,65441,84555,73698,alpha
5415,36159,43925,5951,87388,beta
8007,41832,58596,30523,88861,beta
86740,15524,19282,23930,77,gamma
20611,16984,14060,82985,84056,beta
43303,59207,75046,29287,93709,gamma
39711,11954,73340,72101,71520,alpha
87062,18574,9184,19096,67728,alpha
34016,11246,45558,18381,36455,beta
92263,4018,11302,67506,41157,alpha
54917,92738,96646,83122,24519,gamma
96809,87487,56819,80910,71324,beta
5408,59379,25053,9446,922,alpha
98723,51356,10789,97720,66656,alpha
44028,64484,32154,82870,2336,gamma
67779,19029,59201,32265,43872,gamma
46197,55180,23710,29486,71907,gamma
71895,64435,40631,20103,64772,alpha
14382,84291,3756,20609,16478,gamma
39666,75683,99097,71315,77834,gamma
14153,76325,12999,55318,814,beta
76077,90474,2443,75993,75916,alpha
73319,17368,15328,56942,91751,alpha
99131,27306,85451,39915,37219,gamma
80879,64644,60279,53028,126,alpha
52329,27632,65310,55176,86066,gamma
44327,68904,3797,47882,13718,alpha
34560,76589,22116,36244,1645,beta
47523,19256,53173,37430,39282,gamma
63374,68244,11694,56264,75060,alpha
97416,57545,39224,97945,13224,alpha
40738,25150,63731,49688,99929,beta
73509,8577,8070,8666,57761,alpha
36368,6783,41914,70507,79026,alpha
67526,70835,45765,19956,87895,beta
46240,37148,94270,4757,19097,beta
10395,16241,27696,70480,46163,beta
19816,49840,52853,24917,96731,alpha
21566,75452,62823,20806,75520,alpha
1759,41949,92374,2482,24442,gamma
33719,58066,93501,2079,2717,beta
59676,27952,86444,42460,90397,beta
72847,93607,89106,18449,33536,beta
64077,38258,48302,28865,6645,gamma
38000,26737,11485,38565,25522,gamma
65155,55168,52487,12342,40806,beta
48770,78623,99785,75629,52603,alpha
81974,26399,85382,81244,76534,alpha
55106,30678,76218,63230,74055,alpha
56373,31480,85230,68836,72258,alpha
39986,24160,85595,79111,64929,beta
73506,34911,87127,31821,75039,gamma
60535,84458,12175,54771,86925,beta
66358,17327,47057,6150,4425,gamma
16032,2198,60500,53394,20079,beta
36220,41874,13859,50460,31419,gamma
8705,42880,23236,87955,85514,beta
15358,99713,94914,76918,14596,alpha
33572,78757,1279,63197,62516,gamma
7083,17771,29975,45648,48285,alpha
19063,67642,90093,86143,37599,beta
51920,28529,35954,27856,2573,gamma
78344,35367,99608,60774,23752,gamma
55029,17685,51693,55961,76908,beta
74532,81994,56133,97425,61268,alpha
92201,38243,57384,31653,26657,gamma
39952,22180,97432,78411,1622,beta
48756,40809,16725,61396,51226,alpha
81182,82565,29402,4263,96523,beta
46828,47924,74182,93065,59052,gamma
11664,35737,89563,29373,36397,beta
86145,38709,61120,19250,21172,gamma
11555,87410,78617,53276,57492,beta
53002,89599,72355,91248,24762,beta
11046,96999,28769,53302,23150,alpha
68247,4853,94613,89399,21792,alpha
59129,74478,67298,31987,15850,alpha
12112,24058,45420,38890,66017,beta
47304,32921,1524,15048,35111,beta
37904,54912,34008,60,74666,beta
83559,55337,13350,24354,45186,alpha
28145,34020,86123,75186,85469,alpha
20581,88929,23051,51474,91748,gamma
69626,6960,35772,21520,49481,gamma
36408,94006,57134,20491,1341,beta
44623,90327,338,71431,12254,beta
51860,11344,1750,54756,67957,beta
58053,70855,15896,55761,62552,beta
77454,90600,27935,37641,29711,gamma
70342,12182,87833,56276,19541,gamma
94457,82310,44813,37198,8820,beta
24070,69768,11122,80559,73543,alpha
83441,41786,94934,99804,6737,alpha
36062,54237,51571,25510,19426,beta
37265,17850,66150,87312,89613,gamma
74910,52375,35435,96443,57132,beta
78945,82050,95402,2983,97241,beta
20662,23510,78187,40998,56846,alpha
94071,6640,44547,54620,15317,beta
7564,27345,94223,79273,74859,alpha
80765,74038,52393,66081,29430,gamma
75532,27788,95505,48543,13919,gamma
69346,96122,39974,16371,45084,gamma
29629,51184,61916,73972,62187,alpha
12984,33039,85431,83691,58606,alpha
10616,50072,24574,3430,12676,beta
10816,32733,85680,2050,33933,gamma
24951,32413,34801,55619,32913,alpha
40600,57775,90816,90093,35400,gamma
4494,80688,89431,74691,97419,beta
43001,67364,45028,97659,37573,alpha
806,56638,29757,34636,80097,alpha
48280,24262,80435,62211,54842,alpha
56979,81470,38197,41844,64754,beta
34157,77129,40042,61665,82856,gamma
27376,55554,14199,81412,50948,alpha
73781,72750,66262,46600,76898,beta
62483,18297,30448,26172,42874,beta
7657,84386,25425,26685,24578,gamma
28831,7906,61413,54028,7287,beta
33660,75758,60504,59720,34701,beta
83300,17674,83560,23874,43642,beta
97820,65160,17602,88801,25931,gamma
94377,29192,46542,42520,64772,beta
58762,50106,81121,25559,33742,beta
69669,80199,21754,3972,70831,beta
41873,94661,9903,3020,41755,gamma
85956,86988,45648,9516,2396,beta
84082,19129,1591,11303,30561,beta
71719,92108,99616,86231,7314,beta
19623,67675,96826,65082,83624,gamma
33130,51756,97624,26292,86206,gamma
69274,2469,53947,22534,63620,gamma
48874,49708,74553,68344,49138,gamma
54302,47638,78249,2719,22890,gamma
77236,36509,42534,92241,18787,gamma
48845,57932,92124,91659,33062,beta
75713,87263,95756,60461,75418,beta
66672,34832,31966,72545,12987,beta
37311,31575,63852,1007,70981,gamma
76242,47517,29257,87272,42207,gamma
13281,61246,1435,98875,91357,alpha
26660,5084,82197,13507,72595,beta
83807,45539,7491,50192,80395,gamma
63888,73609,9077,20953,76919,alpha
67889,23821,37567,24860,21195,beta
77475,90874,87266,21427,27083,gamma
87046,57372,44064,7813,31598,beta
93106,27082,29241,96214,44569,alpha
11745,26029,13025,14288,89186,beta
6540,97768,81958,68878,41846,beta
75932,17482,23411,50975,60545,alpha
78797,52307,3093,77258,22042,alpha
52930,44413,93623,97883,33756,alpha
53268,39214,81871,28602,53331,gamma
48901,99986,63416,32196,5626,alpha
7424,12857,19982,76961,1980,beta
48290,26431,84976,82711,26385,alpha
38158,23019,18639,85530,99911,gamma
21563,39341,5776,36444,68916,gamma
8711,74318,82970,85553,30707,gamma
39110,61788,82879,38827,5655,beta
44859,53625,52098,15251,526,alpha
68760,47837,11536,28541,79083,beta
51027,34531,8712,65455,74744,beta
5109,49268,54615,82503,29759,beta
85708,60112,26589,30015,29009,beta
83309,62046,26143,6154,21804,beta
41688,64288,51195,20581,52648,beta
30087,49930,32981,69298,46167,alpha
75304,43408,39499,52269,38559,gamma
74319,95317,96347,48787,35488,alpha
74441,74663,22431,61681,63483,beta
49153,6368,27424,45004,83869,alpha
88652,56985,50069,52326,81061,alpha
23398,98393,50861,75897,81905,gamma
68577,65641,9078,25003,62768,alpha
51047,71626,57660,49786,1925,beta
83976,26015,33320,64881,90827,alpha
26289,3389,25683,13629,61550,alpha
24826,26630,98762,46163,98511,alpha
66435,11653,27961,81941,74137,beta
33662,98818,56446,21288,95081,gamma
36877,15313,80885,72715,10326,gamma
1560,79148,83186,26745,31890,gamma
20022,52579,70316,83847,28380,gamma
2356,70326,92447,89899,20049,gamma
75717,16082,661,37412,2920,gamma
91194,60315,79561,8946,94242,gamma
45500,16309,55230,98656,30027,alpha
72541,59321,956,74131,47908,beta
78339,25963,39443,99259,39063,beta
80818,4703,65128,72099,25849,gamma
31860,31585,22015,77539,43585,beta
26958,26017,76707,45350,12201,beta
29426,17778,45241,42229,86652,alpha
48364,98833,84878,57056,27490,alpha
19975,26723,23279,78301,11561,beta
66061,88397,49153,33142,26916,alpha
64324,44965,4648,35133,50677,gamma
96059,94588,99950,98317,70135,gamma
35046,47064,69350,45893,61272,gamma
92152,67649,64674,13760,21927,alpha
86475,61367,97955,12588,52233,beta
44738,33397,82189,76367,71260,gamma
76619,19816,42240,6276,79530,gamma
23499,88576,82495,71635,85112,alpha
35946,55204,51886,71652,15563,beta
92324,92464,9847,26155,79671,gamma
83310,67278,18309,619,83194,beta
50108,34707,20337,81537,66504,beta
47614,91428,91155,281,27420,gamma
80896,39030,1058,86213,76260,gamma
28404,29856,9200,64178,33997,beta
25611,41235,35057,1239,65661,alpha
45272,89393,61212,15398,56503,alpha
6638,6570,68785,9110,79141,gamma
12115,39062,22911,32556,78131,alpha
1969,43753,82811,4470,10225,beta
23196,13669,37380,48320,47414,alpha
15577,88009,55409,28625,81040,gamma
24089,36487,65838,96999,94795,gamma
50138,42823,37208,54061,30659,beta
31890,79134,47055,19508,42287,beta
78916,26984,8125,36059,69569,alpha
17087,5704,60576,73384,87128,beta
72460,27208,85150,66024,39882,alpha
25923,29165,67203,91749,4114,beta
64965,36321,73297,96652,99304,beta
25426,17772,3712,1367,91736,beta
51924,3726,89152,27723,9108,gamma
77714,35643,31324,83360,8927,alpha
93680,96546,22443,79973,63449,alpha
76743,60233,25537,77576,22612,alpha
93977,6471,35631,92059,31348,gamma
64732,1177,4760,32779,21636,beta
81889,53551,11556,27598,11563,gamma
46819,73770,91055,26966,81709,beta
59889,26987,78714,58348,24596,gamma
33174,64106,69967,59182,93300,alpha
87163,39310,56088,8906,36914,gamma
45379,78612,37650,46881,46413,beta
6012,50115,7151,57716,93747,gamma
92653,36378,42652,72430,13467,gamma
31010,54691,64157,12289,44976,gamma
43596,23171,86365,99590,44139,beta
48713,29734,72588,63646,3654,alpha
89022,18743,48368,90025,74172,beta
6441,24611,12149,59189,21675,alpha
71031,42668,13673,76666,88204,alpha
80758,65429,23669,34068,88789,beta
9435,94088,52249,37384,81929,beta
76153,75388,31401,71831,34084,gamma
55826,36451,7227,31910,36041,alpha
88920,65681,81571,65481,68576,gamma
64174,26160,17633,94880,17014,gamma
80532,49104,41621,77231,68388,beta
16014,92578,33755,40390,23711,gamma
91658,57993,74696,27213,57784,beta
7421,86936,99073,17727,4358,alpha
65108,94018,32117,88700,31910,gamma
98032,55754,62438,29371,51501,gamma
60946,38467,17625,33893,76329,beta
31007,91302,39532,54253,12323,beta
73379,14210,16456,31367,54624,alpha
10106,68008,72240,64315,69249,beta
70587,10756,68011,36378,4255,beta
14484,56549,34503,73794,45113,gamma
74069,98117,5249,19201,58576,beta
9686,53363,97543,661,44843,beta
95673,60963,42828,48604,10526,beta
68910,25592,28982,207,88733,alpha
98936,68619,29328,46479,20103,gamma
39891,10754,99983,81437,98540,gamma
72982,55922,48231,29301,91652,beta
62711,41323,18752,97912,82205,beta
98452,13395,85957,56273,91878,alpha
4895,76559,10699,65061,9715,beta
19169,16163,5782,88177,84328,beta
35585,30682,47864,84416,55114,alpha
38067,42685,18073,36035,64977,alpha
90373,83362,90517,65450,10382,alpha
4437,70971,64612,90355,61929,gamma
97518,98864,12329,25169,87468,alpha
34594,76957,60631,45033,63133,alpha
73165,73861,52290,94031,31750,alpha
95155,40461,73800,78222,24226,alpha
6721,56154,20609,52130,72909,beta
55249,48895,94473,5656,74520,beta
63740,64309,29984,73822,5901,gamma
31552,91245,31055,37685,73965,beta
14716,11138,35298,51112,23429,gamma
50200,71308,48244,17347,16920,alpha
31822,46659,40108,89099,7967,beta
11871,94299,77452,74270,33613,gamma
28179,52188,55099,35262,78213,beta
18268,77866,86269,60545,92822,beta
72146,71966,39922,79364,42913,alpha
97033,55677,49841,46332,92062,gamma
95694,25032,37846,59474,44936,gamma
29794,61588,70984,50331,94397,gamma
28141,9074,6406,97359,23291,beta
41568,97539,46851,99942,54823,gamma
23312,43108,66918,34171,41779,alpha
68828,98723,12411,57009,15422,alpha
42468,32371,57022,71229,99071,beta
51196,80354,96774,96410,26715,alpha
27605,99853,31174,9956,76373,alpha
69252,61949,62646,70017,63037,alpha
89818,6548,73294,23177,24022,alpha
5542,91012,96320,60428,22740,alpha
59353,90353,56532,16052,47076,beta
53420,671,163,41424,53744,alpha
70331,10634,4798,22420,29300,alpha
89881,10749,25121,37487,93947,gamma
33361,21223,72930,14056,28380,alpha
26035,30620,19877,55316,64041,alpha
53352,30911,32784,3191,33160,alpha
90536,64641,49723,3631,6172,beta
42080,89097,90353,20281,28671,gamma
51431,90900,92961,28602,88789,gamma
51399,23472,49230,73616,7099,gamma
25431,56492,96722,47684,30111,beta
63936,22614,92260,41991,70476,beta
60920,94294,63530,36224,7788,gamma
28082,89570,76816,83588,16531,gamma
88340,94439,44857,10142,48355,gamma
9866,70067,64027,57906,28138,alpha
92601,29956,76295,5439,47241,gamma
42533,28270,78815,39279,23888,beta
17630,61063,35144,52161,96718,beta
91074,77360,50979,97661,6979,beta
26189,42600,59560,78040,61558,gamma
86205,6910,57713,46857,34964,gamma
85667,25227,5978,87527,17153,beta
59765,99084,39071,69519,9503,gamma
60703,64379,95457,57866,16905,alpha
45838,58279,89489,26806,45000,beta
22168,70119,38714,54093,55419,gamma
49145,77425,92949,77811,2461,gamma
14291,46804,76971,93471,64946,alpha
98989,84080,61332,77794,30841,gamma
48758,76272,37643,50408,43950,gamma
56849,28044,15997,79751,98605,alpha
23911,55533,82566,94870,14571,beta
94463,57941,58005,86250,58712,alpha
43541,23387,93980,48908,85457,gamma
13057,64028,55731,24858,48689,beta
44638,91598,46486,20567,29739,alpha
57804,3754,27044,67260,66912,beta
8706,8894,18037,83986,81942,gamma
51612,29725,5926,9496,56447,beta
29806,88199,41321,65095,22656,alpha
55147,91396,49666,82368,38787,beta
62946,21727,95081,68056,3081,gamma
34196,36735,80102,79578,25498,gamma
76865,31656,67695,37900,84899,beta
47701,19033,10805,35851,26832,gamma
63437,13944,19873,40372,89464,gamma
15379,36751,89822,5110,54341,beta
12087,23762,82617,9596,18313,gamma
66549,23705,67364,73445,78645,beta
2023,59796,80073,92197,64429,gamma
61627,33848,37804,15379,59664,alpha
27766,68099,36060,94733,69122,alpha
16087,48868,23225,95286,6643,alpha
93059,36727,11005,65697,16029,gamma
14226,63646,60603,28731,68926,alpha
5997,55506,78229,49815,42092,gamma
62539,66077,21817,37861,13428,beta
43934,10258,57775,81580,94947,alpha
5469,28854,6256,76256,33937,alpha
99134,1651,50288,84730,25051,alpha
27386,75054,16184,33787,21621,gamma
75564,77984,59792,45253,34051,beta
49811,30447,83930,30254,84045,alpha
57418,14472,3471,95804,8329,gamma
34865,46850,54220,93808,6397,alpha
97909,35525,53072,90106,83820,gamma
84530,23284,61330,83369,25122,alpha
70553,81906,94788,62812,7999,beta
22436,42963,2096,25279,26201,gamma
19715,29309,15078,56614,5105,gamma
94848,2839,68920,43619,42821,beta
13493,17069,7531,37051,7736,beta
7710,67155,13975,62424,45603,gamma
23252,80797,1431,74603,37481,gamma
92573,9557,74971,162,34742,gamma
19675,73997,17015,50057,32591,beta
93583,9833,7896,32972,49733,alpha
41800,96044,5347,59063,95850,gamma
2643,40785,18681,50026,15892,gamma
47299,17073,30682,97798,96894,gamma
14289,7927,48330,66707,77454,beta
65428,50601,77465,2539,22669,gamma
70968,20644,18745,28228,34521,alpha
97239,26928,18322,57714,87896,alpha
62292,29055,42891,81912,6588,alpha
90536,6304,7345,29300,24259,gamma
91006,88553,15352,33365,19446,alpha
2336,62032,75415,97852,98876,beta
7521,71707,23481,18474,46760,alpha
55718,44629,45232,86544,67169,beta
50669,78021,69184,47945,13140,gamma
83457,14357,68673,65633,76943,gamma
96111,78258,12924,69286,93269,gamma
74071,57326,90023,30651,70202,gamma
48777,16994,67263,59634,10800,alpha
37823,63878,18708,12819,74905,beta
63870,9283,30573,78707,30933,gamma
5774,72055,10983,96468,96334,beta
18133,14939,781,56700,27624,gamma
6823,18489,39961,29118,81816,beta
22263,13565,20354,42951,91179,beta
23648,50729,41971,18658,21253,gamma
64166,48563,26390,88664,51578,alpha
79025,32658,6852,94986,2551,gamma
71947,61001,49159,51707,33243,beta
21800,75939,57828,7239,6710,gamma
21384,21038,40846,87983,67821,gamma
37991,79057,6971,29139,85445,alpha
77067,80257,84742,37711,6530,beta
11116,65794,282,79473,1898,alpha
4135,6629,85120,89087,65031,gamma
33380,17071,20074,90724,67843,gamma
39901,11205,55661,5906,2591,gamma
62987,63370,80685,54400,25150,alpha
31852,42870,52756,56481,1283,alpha
33691,1125,67065,26170,8438,beta
20095,16154,8004,9752,55426,beta
26819,92051,24217,88708,32994,alpha
15036,77275,97756,49416,9587,beta
95665,645,30930,81835,30090,beta
87489,52142,26475,18888,43732,gamma
81623,46305,46037,9346,587,gamma
12763,59165,69615,36116,85751,alpha
91353,90301,95648,25556,59042,alpha
18099,45096,71986,13230,29009,alpha
70969,33866,84246,76975,41855,gamma
81557,6416,72516,55915,18058,gamma
76637,40718,32602,74658,78112,beta
58067,27516,87969,1089,37346,alpha
74663,10487,155,67494,76229,beta
38547,28795,55296,21447,36598,alpha
41814,90751,75330,98745,87960,alpha
63278,55077,71906,9528,93812,beta
50100,8179,48781,55267,82379,alpha
23952,53798,98696,50939,29516,beta
56526,10449,50290,86661,72954,gamma
22746,67990,58810,83297,15223,gamma
72237,2597,65677,2659,86516,gamma
74567,15037,46738,71678,12109,beta
22010,8787,8472,23383,61709,alpha
69785,34518,53909,18351,69624,beta
53330,15282,84866,21778,24264,alpha
59675,5075,75948,48454,28365,beta
72766,48200,11002,13947,79222,gamma
94840,78610,52142,56307,4493,alpha
50085,34228,79676,51875,31655,gamma
43472,49437,49416,59711,6816,beta
77175,64307,46733,95028,11240,alpha
98234,92493,98344,71363,32762,beta
8259,50139,14849,81768,89709,alpha
54869,63095,70910,86710,23567,alpha
35292,74813,97136,51631,9885,gamma
59659,54306,66314,65087,29165,gamma
58929,67028,95998,49812,50500,gamma
79151,58643,44900,42946,7851,gamma
16288,72692,67580,7368,85436,gamma
96136,46403,91170,9168,86497,beta
49879,59871,89388,98646,32174,beta
99751,92491,6581,71853,64046,alpha
49678,26649,88668,82325,14567,gamma
80404,89906,96019,61944,78002,gamma
28803,18230,17862,43355,31259,alpha
99075,87445,30795,8770,11093,gamma
46571,193,17569,11190,62824,gamma
42752,32327,42070,85925,40197,gamma
2261,93905,26512,6716,86795,alpha
28933,4378,40583,85371,29033,beta
24000,75868,42604,68336,95074,alpha
95655,73869,5410,83375,56044,alpha
63315,96055,71344,6796,86716,alpha
54245,43056,17709,58557,17543,gamma
37418,94611,96038,16724,3828,alpha
17087,12605,31337,5482,65333,gamma
92541,88296,50952,5463,70448,gamma
4648,33623,59156,35634,44602,gamma
49334,68648,22054,70028,22207,gamma
80650,99821,81554,21386,83276,gamma
59518,52781,52780,61440,44199,beta
61035,8210,44363,78279,60348,gamma
55284,72124,68847,22432,64089,beta
55398,99291,3321,81348,37383,beta
78682,79190,52893,35820,66262,beta
3760,22190,67411,23377,46737,gamma
69569,38211,82909,3744,24995,beta
16977,97938,34542,10651,99239,alpha
78931,95344,16715,44409,24306,beta
19086,14376,61350,71425,36636,beta
86120,51649,34610,10058,74637,beta
78033,70194,76917,64200,46619,alpha
17154,19539,60058,62068,77313,beta
99932,30373,33154,6031,93533,beta
71975,22785,78928,28669,94475,gamma
2282,34624,48438,89900,67534,gamma
31705,38244,74964,37437,77872,gamma
74878,72982,50583,38392,7461,alpha
10516,79285,17514,36268,90486,beta
36788,75749,61049,62493,36027,alpha
93547,42849,17858,84162,79003,gamma
52395,39758,54312,68670,82279,gamma
15434,64047,47775,75769,66677,alpha
83555,85920,45734,88503,40603,alpha
76708,81926,68803,39332,91703,gamma
21312,93376,84526,44179,71442,beta
40379,17297,2011,44014,11738,gamma
94333,47498,11120,8767,22852,beta
79239,929,77487,91575,95040,alpha
17438,48515,5744,83820,42417,alpha
7069,42359,19799,98746,93762,beta
70188,89859,7597,47093,37226,alpha
72127,91369,77362,26417,18693,beta
79674,53161,2169,84092,22052,beta
71849,73851,8036,31778,27734,gamma
23173,30403,66321,71675,6344,alpha
18800,25372,61516,20538,63918,beta
14973,71155,59500,36575,42261,beta
27716,3236,15848,2352,1932,beta
76449,8556,86836,5498,76118,alpha
50098,64386,9569,56882,70393,beta
340,43949,82302,62443,91668,beta
